dac_v,adc_a,adc_b,i_feed,q_feed
-7.439999999999999947e-01,-7.336399999999999866e-02,9.289600000000000635e-02,-7.885699999999999654e-02,9.289600000000000635e-02
-7.419999999999999929e-01,-8.227500000000000091e-02,1.046139999999999987e-01,-8.740199999999999358e-02,1.051030000000000020e-01
-7.399999999999999911e-01,-8.666999999999999704e-02,1.340330000000000132e-01,-8.557099999999999429e-02,1.291499999999999870e-01
-7.379999999999999893e-01,-8.422899999999999832e-02,1.596680000000000044e-01,-8.679199999999999415e-02,1.574709999999999999e-01
-7.359999999999999876e-01,-8.215300000000000380e-02,1.621090000000000031e-01,-7.873499999999999943e-02,1.597899999999999876e-01
-7.339999999999999858e-01,-7.873499999999999943e-02,1.694340000000000013e-01,-8.129899999999999627e-02,1.724849999999999994e-01
-7.319999999999999840e-01,-8.398400000000000309e-02,1.684569999999999956e-01,-7.739300000000000346e-02,1.713870000000000116e-01
-7.299999999999999822e-01,-6.738299999999999845e-02,1.783450000000000035e-01,-6.921399999999999775e-02,1.799320000000000086e-01
-7.279999999999999805e-01,-6.469700000000000450e-02,1.893309999999999993e-01,-6.640600000000000669e-02,1.895749999999999935e-01
-7.259999999999999787e-01,-7.434100000000000430e-02,1.812739999999999907e-01,-7.006800000000000528e-02,1.823730000000000073e-01
-7.239999999999999769e-01,-7.507300000000000084e-02,1.840819999999999956e-01,-6.958000000000000296e-02,1.834719999999999962e-01
-7.219999999999999751e-01,-6.604000000000000148e-02,1.867679999999999896e-01,-6.310999999999999943e-02,1.842040000000000066e-01
-7.199999999999999734e-01,-6.677199999999999802e-02,1.866460000000000063e-01,-6.555199999999999916e-02,1.849369999999999903e-01
-7.179999999999999716e-01,-6.884800000000000642e-02,1.732180000000000109e-01,-6.701699999999999324e-02,1.781010000000000093e-01
-7.159999999999999698e-01,-6.799299999999999788e-02,1.491699999999999970e-01,-6.738299999999999845e-02,1.466059999999999863e-01
-7.139999999999999680e-01,-7.629400000000000071e-02,1.107179999999999970e-01,-7.104499999999999704e-02,1.104740000000000028e-01
-7.119999999999999662e-01,-7.263200000000000212e-02,6.689499999999999613e-02,-7.763699999999999768e-02,6.518599999999999395e-02
-7.099999999999999645e-01,-7.299799999999999345e-02,1.306200000000000069e-02,-7.519499999999999795e-02,1.477099999999999941e-02
-7.079999999999999627e-01,-8.447300000000000642e-02,-3.918499999999999761e-02,-8.129899999999999627e-02,-4.040500000000000341e-02
-7.059999999999999609e-01,-8.532700000000000007e-02,-7.592799999999999550e-02,-9.326199999999999768e-02,-7.568400000000000127e-02
-7.039999999999999591e-01,-7.934599999999999986e-02,-8.203100000000000669e-02,-8.447300000000000642e-02,-8.312999999999999556e-02
-7.019999999999999574e-01,-7.788100000000000578e-02,-9.973100000000000021e-02,-7.983400000000000218e-02,-1.007080000000000058e-01
-6.999999999999999556e-01,-9.167500000000000648e-02,-1.263430000000000109e-01,-9.228500000000000592e-02,-1.282959999999999934e-01
-6.979999999999999538e-01,-8.789099999999999691e-02,-1.269530000000000103e-01,-8.630400000000000571e-02,-1.259770000000000056e-01
-6.959999999999999520e-01,-9.155299999999999550e-02,-1.385500000000000065e-01,-9.057600000000000373e-02,-1.386719999999999897e-01
-6.939999999999999503e-01,-9.509299999999999697e-02,-1.333010000000000028e-01,-9.887700000000000655e-02,-1.331789999999999918e-01
-6.919999999999999485e-01,-9.802199999999999802e-02,-1.318360000000000087e-01,-9.558099999999999929e-02,-1.325679999999999914e-01
-6.899999999999999467e-01,-1.130369999999999986e-01,-1.317139999999999977e-01,-1.113279999999999964e-01,-1.330570000000000086e-01
-6.879999999999999449e-01,-1.265870000000000051e-01,-1.259770000000000056e-01,-1.230470000000000036e-01,-1.226809999999999984e-01
-6.860000000000000542e-01,-1.291499999999999870e-01,-1.307369999999999921e-01,-1.256099999999999994e-01,-1.307369999999999921e-01
-6.840000000000000524e-01,-1.357420000000000015e-01,-1.206050000000000039e-01,-1.437990000000000101e-01,-1.198729999999999934e-01
-6.820000000000000506e-01,-1.506349999999999911e-01,-1.085210000000000063e-01,-1.510009999999999963e-01,-1.092530000000000029e-01
-6.800000000000000488e-01,-1.656489999999999907e-01,-1.036379999999999940e-01,-1.657710000000000017e-01,-1.007080000000000058e-01
-6.780000000000000471e-01,-1.846919999999999951e-01,-8.764600000000000168e-02,-1.793210000000000082e-01,-8.703600000000000225e-02
-6.760000000000000453e-01,-1.875000000000000000e-01,-4.650900000000000173e-02,-1.939700000000000035e-01,-4.663099999999999884e-02
-6.740000000000000435e-01,-1.898189999999999877e-01,-8.540000000000000499e-04,-1.920169999999999932e-01,7.320000000000000118e-04
-6.720000000000000417e-01,-1.843259999999999899e-01,2.600099999999999981e-02,-1.806639999999999913e-01,2.746600000000000083e-02
-6.700000000000000400e-01,-1.706540000000000001e-01,2.001999999999999960e-02,-1.687009999999999899e-01,2.111800000000000135e-02
-6.680000000000000382e-01,-1.478269999999999862e-01,4.968299999999999800e-02,-1.494139999999999913e-01,5.053699999999999859e-02
-6.660000000000000364e-01,-1.228029999999999955e-01,5.114699999999999802e-02,-1.163330000000000058e-01,5.249000000000000193e-02
