time,sample,out1_s16,out2_s16,out1_u14,out2_u14
917000,455,11198,22130,5392,2659
919000,456,8053,19595,6178,3293
921000,457,4827,16862,6985,3976
923000,458,1551,13959,7804,4702
925000,459,-1740,10915,8626,5463
927000,460,-5013,7760,9445,6251
929000,461,-8236,4528,10250,7059
931000,462,-11375,1250,11035,7879
933000,463,-14400,-2041,11791,8702
935000,464,-17280,-5311,12511,9519
937000,465,-19985,-8527,13188,10323
939000,466,-22489,-11658,13814,11106
941000,467,-24766,-14671,14383,11859
943000,468,-26793,-17536,14890,12575
945000,469,-28550,-20224,15329,13247
947000,470,-30019,-22708,15696,13868
949000,471,-31185,-24963,15988,14432
951000,472,-32037,-26966,16201,14933
953000,473,-32565,-28697,16333,15366
955000,474,-32765,-30139,16383,15726
957000,475,-32635,-31277,16350,16011
959000,476,-32175,-32099,16235,16216
961000,477,-31391,-32597,16039,16341
963000,478,-30290,-32767,15764,16383
965000,479,-28883,-32606,15412,16343
967000,480,-27185,-32116,14988,16220
969000,481,-25213,-31303,14495,16017
971000,482,-22987,-30173,13938,15735
973000,483,-20529,-28739,13324,15376
975000,484,-17863,-27016,12657,14945
977000,485,-15018,-25020,11946,14446
979000,486,-12021,-22771,11197,13884
981000,487,-8903,-20293,10417,13265
983000,488,-5695,-17610,9615,12594
985000,489,-2429,-14749,8799,11879
987000,490,861,-11740,7976,11126
989000,491,4142,-8612,7156,10344
991000,492,7381,-5398,6346,9541
993000,493,10546,-2128,5555,8723
995000,494,13605,1162,4790,7901
997000,495,16527,4441,4060,7081
999000,496,19281,7675,3371,6273
1001000,497,21842,10832,2731,5483
1003000,498,24181,13879,2146,4722
1005000,499,26277,16786,1622,3995
1007000,500,28108,19524,1164,3310
1009000,501,29656,22065,777,2675
1011000,502,30904,24384,465,2095
1013000,503,31841,26457,231,1577
1015000,504,32456,28262,77,1126
1017000,505,32744,29783,5,746
1019000,506,32702,31003,16,441
1021000,507,32330,31911,109,214
1023000,508,31631,32496,284,67
1025000,509,30614,32754,538,3
1027000,510,29288,32681,869,21
1029000,511,27666,32279,1275,122
1031000,512,25766,31551,1750,304
1033000,513,23605,30505,2290,565
1035000,514,21207,29152,2890,903
1037000,515,18594,27504,3543,1315
1039000,516,15794,25578,4243,1797
1041000,517,12835,23395,4983,2343
1043000,518,9746,20976,5755,2947
1045000,519,6559,18345,6552,3605
1047000,520,3306,15529,7365,4309
1049000,521,19,12557,8187,5052
1051000,522,-3268,9458,9008,5827
1053000,523,-6522,6263,9822,6626
1055000,524,-9710,3005,10619,7440
1057000,525,-12800,-283,11391,8262
1059000,526,-15761,-3568,12132,9083
1061000,527,-18563,-6817,12832,9896
1063000,528,-21178,-9998,13486,10691
1065000,529,-23579,-13077,14086,11461
1067000,530,-25743,-16025,14627,12198
1069000,531,-27646,-18811,15103,12894
1071000,532,-29271,-21407,15509,13543
1073000,533,-30601,-23788,15842,14138
1075000,534,-31622,-25928,16097,14673
1077000,535,-32324,-27807,16272,15143
1079000,536,-32699,-29405,16366,15543
1081000,537,-32745,-30707,16378,15868
1083000,538,-32461,-31699,16307,16116
1085000,539,-31850,-32372,16154,16284
1087000,540,-30917,-32717,15921,16371
1089000,541,-29672,-32733,15609,16375
1091000,542,-28128,-32419,15223,16296
1093000,543,-26300,-31777,14766,16136
1095000,544,-24207,-30815,14243,15895
1097000,545,-21870,-29543,13659,15577
1099000,546,-19312,-27972,13019,15184
1101000,547,-16559,-26119,12331,14721
1103000,548,-13639,-24003,11601,14192
1105000,549,-10582,-21644,10837,13602
1107000,550,-7418,-19067,10046,12958
1109000,551,-4179,-16298,9236,12266
1111000,552,-898,-13365,8416,11533
1113000,553,2392,-10296,7593,10765
1115000,554,5658,-7124,6777,9972
1117000,555,8866,-3880,5975,9161
1119000,556,11986,-597,5195,8341
1121000,557,14984,2692,4445,7518
1123000,558,17832,5954,3733,6703
1125000,559,20499,9156,3067,5902
1127000,560,22960,12266,2451,5125
1129000,561,25189,15252,1894,4378
1131000,562,27164,18084,1400,3670
1133000,563,28865,20734,975,3008
1135000,564,30275,23174,623,2398
1137000,565,31380,25381,346,1846
1139000,566,32168,27332,149,1358
1141000,567,32631,29007,34,940
1143000,568,32766,30389,0,594
1145000,569,32569,31465,49,325
1147000,570,32045,32224,180,135
1149000,571,31197,32657,392,27
1151000,572,30034,32761,683,1
1153000,573,28569,32535,1049,58
1155000,574,26815,31980,1488,196
1157000,575,24791,31103,1994,416
1159000,576,22517,29912,2562,713
1161000,577,20015,28420,3188,1086
1163000,578,17312,26641,3863,1531
1165000,579,14434,24593,4583,2043
1167000,580,11411,22297,5339,2617
1169000,581,8272,19776,6123,3247
1171000,582,5050,17055,6929,3928
1173000,583,1777,14163,7747,4651
1175000,584,-1514,11128,8570,5409
1177000,585,-4789,7980,9389,6196
1179000,586,-8017,4752,10196,7003
1181000,587,-11163,1476,10982,7822
1183000,588,-14197,-1815,11741,8645
1185000,589,-17087,-5087,12463,9463
1187000,590,-19806,-8309,13143,10269
1189000,591,-22324,-11446,13772,11053
1191000,592,-24618,-14468,14346,11808
1193000,593,-26663,-17344,14857,12527
1195000,594,-28439,-20045,15301,13203
1197000,595,-29928,-22544,15673,13827
1199000,596,-31115,-24816,15970,14395
1201000,597,-31989,-26837,16189,14901
1203000,598,-32539,-28587,16326,15338
1205000,599,-32762,-30049,16382,15704
1207000,600,-32654,-31208,16355,15993
1209000,601,-32217,-32053,16246,16205
1211000,602,-31455,-32574,16055,16335
1213000,603,-30375,-32766,15785,16383
1215000,604,-28989,-32628,15439,16348
1217000,605,-27311,-32160,15019,16231
1219000,606,-25357,-31369,14531,16034
1221000,607,-23148,-30261,13978,15757
1223000,608,-20704,-28847,13367,15403
1225000,609,-18053,-27143,12705,14977
1227000,610,-15219,-25165,11996,14483
1229000,611,-12231,-22933,11249,13925
1231000,612,-9120,-20470,10471,13309
1233000,613,-5917,-17800,9671,12641
1235000,614,-2655,-14951,8855,11929
1237000,615,635,-11951,8033,11179
1239000,616,3917,-8830,7212,10399
1241000,617,7161,-5620,6401,9596
1243000,618,10332,-2354,5608,8780
1245000,619,13399,936,4842,7957
1247000,620,16331,4217,4109,7137
1249000,621,19098,7455,3417,6328
1251000,622,21672,10618,2773,5537
1253000,623,24028,13674,2184,4773
1255000,624,26142,16592,1656,4043
1257000,625,27992,19342,1193,3356
1259000,626,29559,21898,802,2717
1261000,627,30828,24232,484,2133
1263000,628,31787,26322,245,1611
1265000,629,32424,28147,85,1155
1267000,630,32735,29688,8,769
1269000,631,32715,30929,13,459
1271000,632,32366,31858,100,227
1273000,633,31690,32466,269,75
1275000,634,30694,32747,518,5
1277000,635,29389,32697,844,17
1279000,636,27787,32317,1245,112
1281000,637,25905,31612,1715,288
1283000,638,23762,30587,2251,545
1285000,639,21379,29254,2847,878
1287000,640,18780,27626,3496,1285
1289000,641,15992,25719,4193,1762
1291000,642,13043,23553,4931,2303
1293000,643,9962,21149,5701,2904
1295000,644,6780,18532,6496,3558
1297000,645,3530,15728,7309,4259
1299000,646,245,12765,8130,5000
1301000,647,-3043,9674,8952,5773
1303000,648,-6300,6485,9766,6570
1305000,649,-9494,3230,10565,7384
1307000,650,-12592,-57,11339,8206
1309000,651,-15562,-3343,12082,9027
1311000,652,-18376,-6596,12785,9840
1313000,653,-21005,-9782,13443,10637
1315000,654,-23422,-12870,14047,11409
1317000,655,-25602,-15827,14592,12148
1319000,656,-27524,-18625,15072,12848
1321000,657,-29169,-21236,15484,13500
1323000,658,-30519,-23632,15821,14099
1325000,659,-31562,-25789,16082,14639
1327000,660,-32286,-27687,16263,15113
1329000,661,-32684,-29305,16362,15518
1331000,662,-32753,-30628,16380,15848
1333000,663,-32491,-31641,16314,16102
1335000,664,-31902,-32336,16167,16275
1337000,665,-30991,-32704,15939,16367
1339000,666,-29767,-32743,15633,16377
1341000,667,-28243,-32451,15252,16304
1343000,668,-26434,-31832,14800,16149
1345000,669,-24359,-30892,14281,15914
1347000,670,-22038,-29640,13701,15601
1349000,671,-19494,-28089,13065,15214
1351000,672,-16754,-26255,12380,14755
1353000,673,-13845,-24156,11653,14230
1355000,674,-10796,-21813,10890,13645
1357000,675,-7638,-19251,10101,13004
1359000,676,-4404,-16494,9292,12315
1361000,677,-1124,-13571,8472,11584
1363000,678,2166,-10511,7650,10819
1365000,679,5435,-7345,6833,10028
1367000,680,8649,-4105,6029,9218
1369000,681,11775,-823,5248,8397
1371000,682,14783,2467,4496,7575
1373000,683,17642,5732,3781,6758
1375000,684,20322,8939,3111,5957
1377000,685,22798,12056,2492,5177
1379000,686,25044,15051,1930,4429
1381000,687,27037,17895,1432,3718
1383000,688,28758,20558,1002,3052
1385000,689,30188,23014,644,2438
1387000,690,31314,25237,363,1882
1389000,691,32124,27206,160,1390
1391000,692,32610,28901,39,966
1393000,693,32767,30304,0,615
1395000,694,32593,31401,43,341
1397000,695,32091,32182,169,146
1399000,696,31265,32638,375,32
1401000,697,30124,32765,660,0
1403000,698,28679,32561,1022,51
1405000,699,26944,32029,1455,184
1407000,700,24938,31174,1957,398
1409000,701,22680,30004,2521,690
1411000,702,20194,28532,3143,1058
1413000,703,17504,26772,3815,1498
1415000,704,14637,24742,4532,2006
1417000,705,11623,22462,5286,2576
1419000,706,8491,19956,6069,3202
1421000,707,5274,17248,6873,3879
1423000,708,2003,14366,7691,4600
1425000,709,-1288,11340,8513,5356
1427000,710,-4565,8199,9333,6142
1429000,711,-7797,4976,10141,6947
1431000,712,-10950,1702,10929,7766
1433000,713,-13993,-1589,11690,8589
1435000,714,-16894,-4864,12415,9407
1437000,715,-19625,-8090,13098,10214
1439000,716,-22158,-11234,13731,11000
1441000,717,-24468,-14265,14308,11758
1443000,718,-26530,-17152,14824,12479
1445000,719,-28326,-19866,15273,13158
1447000,720,-29835,-22379,15650,13786
1449000,721,-31044,-24667,15952,14358
1451000,722,-31939,-26706,16176,14868
1453000,723,-32512,-28476,16319,15310
1455000,724,-32757,-29958,16381,15681
1457000,725,-32672,-31139,16359,15976
1459000,726,-32257,-32005,16256,16193
1461000,727,-31517,-32548,16071,16328
1463000,728,-30459,-32763,15806,16382
1465000,729,-29094,-32648,15465,16353
1467000,730,-27435,-32203,15050,16242
1469000,731,-25500,-31433,14566,16050
1471000,732,-23307,-30347,14018,15778
1473000,733,-20879,-28954,13411,15430
1475000,734,-18241,-27269,12752,15009
1477000,735,-15419,-25309,12046,14519
1479000,736,-12441,-23094,11302,13965
1481000,737,-9337,-20646,10526,13353
1483000,738,-6140,-17990,9726,12689
1485000,739,-2880,-15152,8911,11979
1487000,740,408,-12161,8089,11232
1489000,741,3693,-9048,7268,10453
1491000,742,6940,-5843,6456,9652
1493000,743,10117,-2580,5662,8836
1495000,744,13192,710,4893,8014
1497000,745,16134,3992,4158,7193
1499000,746,18914,7234,3463,6383
1501000,747,21502,10404,2816,5590
1503000,748,23874,13468,2223,4824
1505000,749,26005,16396,1690,4092
1507000,750,27873,19159,1223,3402
1509000,751,29461,21729,826,2759
1511000,752,30751,24079,504,2172
1513000,753,31731,26187,259,1645
1515000,754,32391,28031,94,1184
1517000,755,32724,29591,10,794
1519000,756,32727,30854,10,478
1521000,757,32400,31805,91,240
1523000,758,31746,32435,255,83
1525000,759,30772,32738,498,7
1527000,760,29488,32711,819,14
1529000,761,27906,32354,1215,103
1531000,762,26043,31670,1681,274
1533000,763,23917,30668,2212,524
1535000,764,21550,29355,2804,853
1537000,765,18965,27747,3450,1255
1539000,766,16189,25859,4144,1727
1541000,767,13250,23710,4879,2264
1543000,768,10177,21322,5647,2861
1545000,769,7001,18718,6441,3512
1547000,770,3755,15926,7253,4210
1549000,771,471,12973,8074,4948
1551000,772,-2818,9890,8896,5719
