freq_hz,adc_b
1.831110568559831474e+06,6.034223214575082117e-07
1.834925382244331064e+06,1.165597822730969788e-06
1.838740195928830653e+06,7.602882160749107214e-07
1.842555009613330476e+06,3.938861553346176300e-07
1.846369823297830066e+06,4.371851053254782240e-07
1.850184636982329655e+06,3.945888053551402629e-07
1.853999450666829245e+06,6.962213838819517324e-07
1.857814264351329068e+06,3.121648074026388893e-07
1.861629078035828657e+06,6.029246203375255088e-07
1.865443891720328247e+06,2.104832418814421562e-06
1.869258705404827837e+06,8.418881099062557963e-07
1.873073519089327659e+06,8.247115533464240609e-08
1.876888332773827249e+06,4.444889251989626493e-08
1.880703146458326839e+06,4.853153183972956461e-08
1.884517960142826429e+06,1.651459019392251780e-07
1.888332773827326251e+06,3.122852455290372000e-07
1.892147587511825841e+06,5.093127473637713336e-07
1.895962401196325431e+06,1.662387127392320150e-07
1.899777214880825020e+06,4.353590046337368317e-08
1.903592028565324843e+06,1.749431149370405709e-07
1.907406842249824433e+06,2.174859522746483831e-06
1.911221655934324022e+06,1.649090600604484862e-06
1.915036469618823612e+06,3.272769890963051442e-07
1.918851283303323435e+06,1.415045916047909789e-06
1.922666096987823024e+06,2.005658045582532381e-07
1.926480910672322614e+06,1.045781144067254421e-06
1.930295724356822204e+06,1.371951971745212708e-06
1.934110538041322026e+06,1.015578495052607402e-06
1.937925351725821616e+06,1.765416427339138596e-07
1.941740165410321206e+06,8.777631285936594102e-07
1.945554979094820796e+06,8.596700094741865676e-07
1.949369792779320618e+06,1.290646672173250720e-06
1.953184606463820208e+06,4.242153118130501380e-08
1.956999420148319798e+06,1.101088277807319879e-06
1.960814233832819620e+06,1.031035525354330153e-06
1.964629047517319210e+06,6.278887991132208597e-07
1.968443861201818800e+06,1.900985463724302569e-07
1.972258674886318389e+06,1.818033895278571801e-06
1.976073488570818212e+06,7.013702752730182583e-08
1.979888302255317802e+06,4.332631810443206403e-06
1.983703115939817391e+06,1.764017918459123787e-06
1.987517929624316981e+06,7.023922592256667499e-06
1.991332743308816804e+06,1.228123714825308022e-06
1.995147556993316393e+06,5.629280951445903551e-05
1.998962370677815983e+06,1.767175980176080173e-04
2.002777184362315573e+06,1.019257069307493287e-04
2.006591998046815395e+06,2.815230433998787290e-06
2.010406811731314985e+06,6.989266685297668873e-06
2.014221625415814575e+06,2.849922878270338085e-07
2.018036439100314165e+06,3.192808971183912227e-06
2.021851252784813987e+06,4.817657639767687235e-08
2.025666066469313577e+06,4.420219487763489780e-06
2.029480880153813167e+06,1.904630292999141777e-06
2.033295693838312756e+06,1.966926297142419814e-07
2.037110507522812579e+06,1.141528513045790506e-07
2.040925321207312169e+06,7.880205607304913298e-07
2.044740134891811758e+06,4.043586504338318284e-07
2.048554948576311348e+06,9.403435543746546795e-07
2.052369762260811171e+06,5.003212319701599210e-07
2.056184575945310760e+06,7.254925620802206602e-08
2.059999389629810350e+06,2.100878804575961657e-07
2.063814203314309940e+06,1.790268372842971080e-06
2.067629016998809762e+06,1.327358626234855807e-06
2.071443830683309352e+06,1.782043742202758627e-06
2.075258644367808942e+06,9.816140791010618168e-07
2.079073458052308531e+06,8.052182987706770828e-07
2.082888271736808354e+06,9.732773440122919480e-08
2.086703085421307944e+06,1.023646686180765917e-06
2.090517899105807533e+06,1.066008889498712877e-06
2.094332712790307123e+06,8.816759783846354770e-08
2.098147526474806946e+06,7.066522999882010792e-09
2.101962340159306303e+06,7.573692485485506963e-07
2.105777153843806125e+06,4.458045853887960545e-07
